2015-04-27 06:55:08 status unpacked libsemanage1:amd64 2.2-1
2015-04-27 06:55:09 install libsepol1:amd64 <none> 2.2-1
2015-04-27 06:55:09 status half-installed libsepol1:amd64 2.2-1
2015-04-27 06:55:09 status unpacked libsepol1:amd64 2.2-1
2015-04-27 06:55:09 status unpacked libsepol1:amd64 2.2-1
2015-04-27 06:55:09 install libslang2:amd64 <none> 2.2.4-15ubuntu1
2015-04-27 06:55:09 status half-installed libslang2:amd64 2.2.4-15ubuntu1
2015-04-27 06:55:09 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2015-04-27 06:55:09 status unpacked libslang2:amd64 2.2.4-15ubuntu1
2015-04-27 06:55:09 install libss2:amd64 <none> 1.42.9-3ubuntu1
